"handle","name","dataset_id","pol_age_min","pol_age_max","age_type","bacon","gc_age_min","gc_age_max","reason","new","amb_rise"
"GOLDSMTH","Goldsmith Lake",967,-9,608,"Radiocarbon years BP",TRUE,-15,92,NA,NA,FALSE
"GRICE","Grice Pond",990,-6,650,"Radiocarbon years BP",TRUE,-15,75,NA,NA,FALSE
"HEMOPOND","Hemo Pond",1032,-13,123,"Radiocarbon years BP",TRUE,-15,76,NA,NA,FALSE
"HORSE","Blocknic Lake [Horse Pond]",1109,-11,251,"Radiocarbon years BP",TRUE,-15,79,NA,NA,FALSE
"HORSHOHA","Horseshoe Lake",1110,8055,13042,"Radiocarbon years BP",TRUE,8100,12330,NA,NA,FALSE
"HOSTAGE","Hostage Lake",1111,-30,4630,"Radiocarbon years BP",TRUE,-30,3485,NA,NA,FALSE
"HUGLAKE","Hug Lake",1134,-14,370,"Radiocarbon years BP",TRUE,-20,65,NA,NA,FALSE
"HUSTLER","Hustler Lake",1138,-33,180,"Radiocarbon years BP",FALSE,NA,NA,NA,NA,FALSE
"IRVIN","Irvin Lake",1153,-32,12000,"Radiocarbon years BP",TRUE,-32,7500,NA,NA,FALSE
"JACOBSN1","Jacobson Lake",1163,6160,10800,"Radiocarbon years BP",FALSE,NA,NA,NA,NA,FALSE
"JACOBSN2","Jacobson Lake",3138,18,9000,"Radiocarbon years BP",TRUE,0,7210,NA,NA,FALSE
"MNSHBL","Jones Lake",15274,-6,491,"Calendar years BP",TRUE,-13,94,NA,NA,FALSE
"KEGAN","Kegan Lake",1446,-11,216,"Radiocarbon years BP",TRUE,-15,96,NA,NA,FALSE
"KIRCHNR1","Kirchner Marsh",1520,182,11786,"Radiocarbon years BP",TRUE,-9,11760,NA,NA,FALSE
"KIRCHNR2","Kirchner Marsh",3455,10,12237,"Radiocarbon years BP",TRUE,0,11942,NA,NA,FALSE
"KOTIRANT","Kotiranta Lake",1548,150,14970,"Radiocarbon years BP",TRUE,150,13480,NA,NA,FALSE
"KRYZ","Kryzewinski Lake",1552,-12,325,"Radiocarbon years BP",TRUE,-15,80,NA,NA,FALSE
"KYLENLK","Kylen Lake",1564,8406,15900,"Radiocarbon years BP",TRUE,8410,15850,NA,NA,FALSE
"LAKEANN","Lake Ann",1584,-12,314,"Radiocarbon years BP",TRUE,-15,95,NA,NA,FALSE
"LAKEANNF","Lake Ann",3468,791,10547,"Radiocarbon years BP",TRUE,-30,7420,NA,NA,FALSE
"LAKEANNH","Lake Ann",3469,4846,13327,"Radiocarbon years BP",FALSE,NA,NA,NA,NA,FALSE
"LAKECARL","Lake Carlson",1588,11,12209,"Radiocarbon years BP",TRUE,9,97,NA,NA,FALSE
