id sitename handle lat long state altitude type age age_old bacon_depth ASH BEECH BIRCH ELM HEMLOCK MAPLE OAK OTHER.CONIFER OTHER.HARDWOOD PINE SPRUCE TAMARACK
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 715.098018619151 707 125.5 4 0 33 4 2 1 35 2 16 337 3 2
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 745.216727028243 740 130.5 2 0 33 5 1 2 24 3 20 324 4 2
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 785.609664333711 783 136.5 2 0 25 5 1 0 28 1 23 323 8 0
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 828.731370743892 825 142.5 1 0 44 8 1 3 24 0 18 302 12 1
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 870.932568397334 867 148.5 2 0 42 3 1 2 28 1 15 305 15 3
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 913.242783732065 910 154.5 4 0 43 3 2 1 40 0 19 298 10 4
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 955.322866022874 952 160.5 3 0 40 3 3 2 29 2 23 304 6 4
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 996.733945743339 995 166.5 5 0 29 2 1 2 18 3 28 295 40 4
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 1038.64603000843 1037 172.5 7 0 33 6 1 2 34 4 23 278 11 4
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 1081.65092429094 1080 178.5 2 0 35 5 0 0 31 0 29 308 5 2
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 1123.25164993802 1122 184.5 3 0 25 3 0 2 35 1 35 303 10 0
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 1164.96965780689 1164 190.5 1 0 31 1 1 3 30 4 20 305 15 1
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 1208.50088268044 1208 196.5 1 0 32 1 1 5 25 1 20 317 16 3
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 1252.53657861933 1253 202.5 1 0 40 7 2 5 22 2 27 310 28 2
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 1296.35927832035 1297 208.5 2 0 45 5 2 2 34 0 25 312 10 3
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 1340.65345783212 1341 214.5 1 0 47 5 0 1 29 7 27 306 13 5
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 1383.69789437486 1385 220.5 2 0 45 8 3 2 46 2 34 272 10 3
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 1426.97900076595 1429 226.5 2 0 42 3 0 0 48 1 34 278 6 2
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 1471.12198147977 1473 232.5 9 0 50 7 1 2 33 4 21 316 3 2
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 1524.41992063754 1525 238.5 5 0 50 4 1 2 43 2 16 325 5 2
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 1589.12305753858 1577 244.5 6 0 41 12 0 1 61 1 32 290 8 1
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 1654.79696140859 1629 250.5 7 0 37 6 0 3 41 3 31 257 10 2
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 1720.43269223627 1681 256.5 3 0 44 5 1 2 35 0 19 311 14 3
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 1785.90676940466 1734 262.5 2 0 33 7 2 7 31 2 28 313 12 0
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 1850.77605901424 1786 268.5 4 0 45 8 2 5 38 3 13 293 15 2
