id,SiteName,Handle,Longitude,Latitude,Altitude,GeoPolitic,Chronology,AgeType,AgeModel,AgeBoundYo,AgeBoundOl,X21_18,X18_145,X145_129,X129_115,X115_105,Source,lon_alb_km,lat_alb_km,alt_km,picea_decline_idw_2d_age_mean,picea_decline_idw_2d_age_older,picea_decline_idw_2d_age_younger,picea_decline_depth,picea_decline_age_basis,alnus_decline_idw_2d_age_mean,alnus_decline_idw_2d_age_older,alnus_decline_idw_2d_age_younger,alnus_decline_depth,alnus_decline_age_basis,quercus_rise_idw_2d_age_mean,quercus_rise_idw_2d_age_older,quercus_rise_idw_2d_age_younger,quercus_rise_depth,quercus_rise_age_basis
256,Green Lake,GREENLK,-85.116667,44.883333,305,United States,461,Radiocarbon years BP,linear interpolation,200,12500,n,y,y,y,y,access,806.789532,623.27397,183,11076,11185,10964,210,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,11046,11147,10943,250,pollen stratigraphic: quercus rise idw-2d
270,Hack Pond,HACK,-78.997222,37.984722,469,United States,482,Radiocarbon years BP,linear interpolation,0,12720,n,y,y,y,y,access,1401.715066,-111.388081,281.4,10997,11507,10497,105,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,11710,12231,11211,130,pollen stratigraphic: quercus rise idw-2d
272,Hams Lake,HAMSLAKE,-80.413333,43.236667,301,Canada,487,Radiocarbon years BP,linear interpolation,-30,11360,n,n,y,y,y,access,1184.639689,479.887822,180.6,11586,11900,11257,1356,pollen stratigraphic: picea decline idw-2d,11585,11907,11257,1388,pollen stratigraphic: alnus decline idw-2d,NA,NA,NA,NA,NA
273,Hanson Marsh,HANSON,-89.675,43.433056,381,United States,490,Radiocarbon years BP,linear interpolation,10020,11030,n,n,y,y,y,access,480.98881,421.544662,228.6,10355,10525,10182,65,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,Helmetta Bog,HELMETTA,-74.433333,40.383333,15,United States,508,Radiocarbon years BP,linear interpolation,0,10000,n,n,n,n,y,access,1708.401628,240.399319,9,11240,11408,11071,150,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,High Lake,HIGHLAKE,-76.6,44.516667,192,Canada,515,Radiocarbon years BP,linear interpolation,0,9490,n,n,n,n,y,access,1440.067278,681.443583,115.2,11000,11196,10786,1315,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,11763,11885,11635,1385,pollen stratigraphic: quercus rise idw-2d
291,Hiscock Site,HISCOCK,-78.0681,43.0977,189,United States,NA,Calibrated radiocarbon years B.P.,Linear interpolation,140,12850,n,n,n,y,y,excel,1363.984194,495.243899,113.4,10623,10999,10221,66,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,12095,12295,11881,74,pollen stratigraphic: quercus rise idw-2d
297,Houghton Bog,HOUGHTON,-78.670278,42.541667,428,United States,525,Radiocarbon years BP,linear interpolation,-20,11900,n,n,y,y,y,access,1330.646654,422.102021,256.8,10880,11162,10589,919,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,12000,12169,11819,925,pollen stratigraphic: quercus rise idw-2d
312,Irvin Lake,IRVIN,-93.643611,47.135556,478,United States,546,Radiocarbon years BP,linear interpolation,-40,10710,n,n,n,y,y,access,168.436952,844.983495,286.8,10790,11424,10134,720,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,9409,9752,9071,590,pollen stratigraphic: quercus rise idw-2d
322,Jack Lake,JACKLAKE,-81.766667,47.316667,430,Canada,552,Radiocarbon years BP,linear interpolation,20,11730,n,n,y,y,y,access,1010.499602,940.257064,258,11114,11239,10983,380,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,Jackson Pond,JACKSON,-85.7238,37.4331,262,United States,554,Radiocarbon years BP,linear interpolation,-30,20460,y,y,y,y,y,access,857.083889,-255.797962,157.2,NA,NA,NA,NA,NA,10945,11130,10757,195,pollen stratigraphic: alnus decline idw-2d,NA,NA,NA,NA,NA
330,Jewell Site,JEWELL,-93.7,42.26,317,United States,565,Radiocarbon years BP,linear interpolation,1050,12000,n,n,y,y,y,access,178.381433,269.016614,190.2,10806,10920,10700,630,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,10591,10699,10480,610,pollen stratigraphic: quercus rise idw-2d
338,Kellys Hollow,KELLHOL1,-90.35,45.3,470,United States,598,Radiocarbon years BP,linear interpolation,-30,10000,n,n,n,n,y,access,416.579201,638.566278,282,10678,10811,10548,300,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,Kellys Hollow,KELLHOL2,-90.35,45.3,470,United States,1414,Radiocarbon years BP,linear interpolation,-30,10740,n,n,n,y,y,access,416.579201,638.566278,282,10678,10811,10548,680,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,Kellners Lake,KELLNERS,-87.848056,44.238056,261,United States,599,Radiocarbon years BP,linear interpolation,-30,10750,n,n,n,y,y,access,611.443341,526.951772,156.6,10839,10948,10732,930,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
